Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
LD1014D_379, LD1014D_379, 1.5, 2.5, -0.679, 8.029, 2.257, 3.558, 40
LD1014D_380, LD1014D_380, 1.5, 1.5, -0.8506, 8.735, 1.421, 6.147, 40
LD1014D_380, LD1014D_380, 1.5, 1.833, -0.8193, 8.789, 1.499, 5.863, 40
LD1014D_380, LD1014D_380, 1.5, 2.167, -0.784, 8.853, 1.587, 5.577, 40
LD1014D_380, LD1014D_380, 1.5, 2.5, -0.7423, 8.915, 1.668, 5.343, 40
LD1014D_381, LD1014D_381, 1.5, 1.5, nan, 8.179, 2.399, 3.409, 40
LD1014D_381, LD1014D_381, 1.5, 1.833, nan, 8.179, 2.399, 3.409, 40
LD1014D_381, LD1014D_381, 1.5, 2.167, nan, 8.179, 2.399, 3.409, 40
LD1014D_381, LD1014D_381, 1.5, 2.5, -0.9931, 8.18, 2.399, 3.409, 40
LD1014D_382, LD1014D_382, 1.5, 1.5, -0.8243, 8.298, 1.747, 4.751, 40
LD1014D_382, LD1014D_382, 1.5, 1.833, -0.7878, 8.287, 1.889, 4.387, 40
LD1014D_382, LD1014D_382, 1.5, 2.167, -0.7435, 8.278, 2.031, 4.075, 40
LD1014D_382, LD1014D_382, 1.5, 2.5, -0.7027, 8.27, 2.174, 3.805, 40
LD1014D_383, LD1014D_383, 1.5, 1.5, -0.881, 9.076, 1.42, 6.39, 40
LD1014D_383, LD1014D_383, 1.5, 1.833, -0.8436, 9.081, 1.501, 6.049, 40
LD1014D_383, LD1014D_383, 1.5, 2.167, -0.8122, 9.087, 1.582, 5.744, 40
LD1014D_383, LD1014D_383, 1.5, 2.5, -0.7757, 9.097, 1.672, 5.441, 40
LD1014D_386, LD1014D_386, 1.5, 1.5, -0.6, 3.155, 1.659, 1.902, 40.06
LD1014D_386, LD1014D_386, 1.5, 1.833, -0.6, 3.155, 1.659, 1.902, 40.06
LD1014D_386, LD1014D_386, 1.5, 2.167, nan, 3.155, 1.659, 1.902, 40.06
LD1014D_386, LD1014D_386, 1.5, 2.5, nan, 3.155, 1.659, 1.902, 40.06
LD1014D_387, LD1014D_387, 1.5, 1.5, nan, 8.318, 2.197, 3.787, 40
LD1014D_387, LD1014D_387, 1.5, 1.833, nan, 8.318, 2.197, 3.787, 40
LD1014D_387, LD1014D_387, 1.5, 2.167, -0.9581, 8.359, 2.216, 3.771, 40
LD1014D_387, LD1014D_387, 1.5, 2.5, -0.9092, 8.392, 2.241, 3.745, 40
LD1014D_388, LD1014D_388, 1.5, 1.5, -0.6196, 3.68, 1.56, 2.359, 39.94
LD1014D_388, LD1014D_388, 1.5, 1.833, -0.6, 3.614, 1.685, 2.144, 39.94
LD1014D_388, LD1014D_388, 1.5, 2.167, -0.6, 3.614, 1.685, 2.144, 39.94
LD1014D_388, LD1014D_388, 1.5, 2.5, nan, 3.614, 1.685, 2.144, 39.94
LD1014D_389, LD1014D_389, 1.5, 1.5, -0.6709, 5.577, 1.307, 4.267, 39.94
LD1014D_389, LD1014D_389, 1.5, 1.833, -0.6413, 5.438, 1.565, 3.475, 39.94
LD1014D_389, LD1014D_389, 1.5, 2.167, -0.6117, 5.287, 1.842, 2.871, 39.94
LD1014D_389, LD1014D_389, 1.5, 2.5, -0.6, 5.234, 1.948, 2.686, 39.94
LD1014D_391, LD1014D_391, 1.5, 1.5, -0.6971, 6.382, 1.225, 5.21, 39.94
LD1014D_391, LD1014D_391, 1.5, 1.833, -0.6683, 6.269, 1.44, 4.354, 39.94
LD1014D_391, LD1014D_391, 1.5, 2.167, -0.6395, 6.154, 1.656, 3.716, 39.94
LD1014D_391, LD1014D_391, 1.5, 2.5, -0.6107, 6.027, 1.889, 3.19, 39.94
LD1014D_393, LD1014D_393, 1.5, 1.5, -0.8262, 8.134, 1.663, 4.892, 40
LD1014D_393, LD1014D_393, 1.5, 1.833, -0.7897, 8.124, 1.805, 4.502, 40
LD1014D_393, LD1014D_393, 1.5, 2.167, -0.7436, 8.117, 1.934, 4.197, 40
