Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 10.32, 9.398
6C33C_D, 6C33C_D, 6C33C_E, 6C33C_E, 25, 175, 0.01, 0.3, 2.928, 2.903
6C33C_D, 6C33C_D, 6C33C_F, 6C33C_F, 25, 175, 0.01, 0.3, 5.007, 4.768
6C33C_D, 6C33C_D, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 4.639, 4.626
6C33C_D, 6C33C_D, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 3.935, 3.901
6C33C_D, 6C33C_D, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 3.15, 2.904
6C33C_D, 6C33C_D, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 4.046, 2.212
6C33C_D, 6C33C_D, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 3.784, 3.346
6C33C_D, 6C33C_D, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 3.113, 2.599
6C33C_D, 6C33C_D, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 3.273, 3.055
6C33C_D, 6C33C_D, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 3.304, 3.248
6C33C_D, 6C33C_D, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 4.252, 4.18
6C33C_D, 6C33C_D, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 5.149, 5.108
6C33C_D, 6C33C_D, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 4.649, 4.647
6C33C_D, 6C33C_D, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 9.305, 8.625
6C33C_E, 6C33C_E, 6C33C_F, 6C33C_F, 25, 175, 0.01, 0.3, 4.346, 4.169
6C33C_E, 6C33C_E, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 3.77, 3.694
6C33C_E, 6C33C_E, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 3.258, 3.144
6C33C_E, 6C33C_E, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 2.853, 2.37
6C33C_E, 6C33C_E, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 5.805, 4.593
6C33C_E, 6C33C_E, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 2.266, 1.772
6C33C_E, 6C33C_E, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 2.735, 1.725
6C33C_E, 6C33C_E, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 2.392, 1.831
6C33C_E, 6C33C_E, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 1.802, 1.793
6C33C_E, 6C33C_E, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 2.654, 2.623
6C33C_E, 6C33C_E, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 4.272, 4.271
6C33C_E, 6C33C_E, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 4.006, 3.996
6C33C_E, 6C33C_E, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 9.278, 8.745
6C33C_F, 6C33C_F, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 3.141, 2.542
6C33C_F, 6C33C_F, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 3.381, 2.62
6C33C_F, 6C33C_F, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 5.09, 4.256
6C33C_F, 6C33C_F, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 7.699, 5.998
6C33C_F, 6C33C_F, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 4.314, 4.303
6C33C_F, 6C33C_F, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 4.843, 3.647
6C33C_F, 6C33C_F, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 3.978, 2.993
6C33C_F, 6C33C_F, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 4.695, 4.585
6C33C_F, 6C33C_F, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 4.632, 4.579
6C33C_F, 6C33C_F, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 5.826, 5.716
6C33C_F, 6C33C_F, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 5.852, 5.663
6C33C_F, 6C33C_F, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 9.88, 9.715
